X_L,Y_L,Z_L,X_R,Y_R,Z_R,Distancia(mm)
300,150,180,200,-50,180,0
300,150,180,200,50,180,0
300,150,180,200,150,180,0
300,150,180,200,250,180,0
300,150,180,200,350,180,0
300,150,180,200,450,180,0
300,150,180,300,-450,180,113
300,150,180,300,-350,180,112
300,150,180,300,-250,180,113
300,150,180,300,-150,180,114
300,150,180,300,-50,180,106
300,150,180,300,50,180,20
300,150,180,300,150,180,0
300,150,180,300,250,180,0
300,150,180,300,350,180,0
300,150,180,300,450,180,0
300,150,180,400,-450,180,114
300,150,180,400,-350,180,114
300,150,180,400,-250,180,114
300,150,180,400,-150,180,113
300,150,180,400,-50,180,103
300,150,180,400,50,180,61
300,150,180,400,150,180,5
300,150,180,400,250,180,0
300,150,180,400,350,180,0
300,150,180,400,450,180,0
300,150,180,500,-450,180,113
300,150,180,500,-350,180,113
300,150,180,500,-250,180,112
300,150,180,500,-150,180,108
300,150,180,500,-50,180,96
300,150,180,500,50,180,82
300,150,180,500,150,180,69
300,150,180,500,250,180,59
300,150,180,500,350,180,0
300,150,180,500,450,180,0
300,150,180,600,-450,180,0
300,150,180,600,-350,180,102
300,150,180,600,-250,180,101
300,150,180,600,-150,180,95
300,150,180,600,-50,180,85
300,150,180,600,50,180,72
300,150,180,600,150,180,64
300,150,180,600,250,180,0
300,150,180,600,350,180,0
300,150,180,600,450,180,0
300,250,180,200,-450,180,111
300,250,180,200,-350,180,111
300,250,180,200,-250,180,0
300,250,180,200,-150,180,0
300,250,180,200,-50,180,0
300,250,180,200,50,180,0
300,250,180,200,150,180,0
300,250,180,200,250,180,0
300,250,180,200,350,180,0
300,250,180,200,450,180,0
300,250,180,300,-450,180,111
300,250,180,300,-350,180,111
300,250,180,300,-250,180,111
300,250,180,300,-150,180,111
300,250,180,300,-50,180,106
300,250,180,300,50,180,86
300,250,180,300,150,180,22
300,250,180,300,250,180,0
300,250,180,300,350,180,0
300,250,180,300,450,180,0
300,250,180,400,-450,180,111
300,250,180,400,-350,180,111
300,250,180,400,-250,180,111
300,250,180,400,-150,180,111
300,250,180,400,-50,180,103
300,250,180,400,50,180,86
300,250,180,400,150,180,61
300,250,180,400,250,180,0
300,250,180,400,350,180,0
300,250,180,400,450,180,0
300,250,180,500,-450,180,111
300,250,180,500,-350,180,111
300,250,180,500,-250,180,111
300,250,180,500,-150,180,108
300,250,180,500,-50,180,96
300,250,180,500,50,180,82
300,250,180,500,150,180,69
300,250,180,500,250,180,63
300,250,180,500,350,180,0
300,250,180,500,450,180,0
300,250,180,600,-450,180,0
300,250,180,600,-350,180,101
300,250,180,600,-250,180,101
300,250,180,600,-150,180,95
300,250,180,600,-50,180,85
300,250,180,600,50,180,72
300,250,180,600,150,180,64
300,250,180,600,250,180,0
300,250,180,600,350,180,0
300,250,180,600,450,180,0
300,350,180,200,-450,180,107
300,350,180,200,-350,180,107
300,350,180,200,-250,180,0
300,350,180,200,-150,180,0
300,350,180,200,-50,180,0
300,350,180,200,50,180,0
300,350,180,200,150,180,0
300,350,180,200,250,180,0
300,350,180,200,350,180,0
300,350,180,200,450,180,0
300,350,180,300,-450,180,107
300,350,180,300,-350,180,107
300,350,180,300,-250,180,107
300,350,180,300,-150,180,107
300,350,180,300,-50,180,106
300,350,180,300,50,180,86
300,350,180,300,150,180,73
300,350,180,300,250,180,12
300,350,180,300,350,180,0
300,350,180,300,450,180,0
