X_L,Y_L,Z_L,X_R,Y_R,Z_R,Distancia(mm)
300,-350,180,600,-450,180,0
300,-350,180,600,-350,180,0
300,-350,180,600,-250,180,0
300,-350,180,600,-150,180,0
300,-350,180,600,-50,180,0
300,-350,180,600,50,180,9.19791
300,-350,180,600,150,180,0
300,-350,180,600,250,180,0
300,-350,180,600,350,180,0
300,-350,180,600,450,180,0
300,-250,180,200,-450,180,97.9317
300,-250,180,200,-350,180,61.2529
300,-250,180,200,-250,180,12.1075
300,-250,180,200,-150,180,0
300,-250,180,200,-50,180,0
300,-250,180,200,50,180,0
300,-250,180,200,150,180,0
300,-250,180,200,250,180,0
300,-250,180,200,350,180,0
300,-250,180,200,450,180,0
300,-250,180,300,-450,180,88.7562
300,-250,180,300,-350,180,6.66167
300,-250,180,300,-250,180,0
300,-250,180,300,-150,180,0
300,-250,180,300,-50,180,0
300,-250,180,300,50,180,0
300,-250,180,300,150,180,0
300,-250,180,300,250,180,0
300,-250,180,300,350,180,0
300,-250,180,300,450,180,0
300,-250,180,400,-450,180,92.1944
300,-250,180,400,-350,180,19.7632
300,-250,180,400,-250,180,0
300,-250,180,400,-150,180,0
300,-250,180,400,-50,180,0
300,-250,180,400,50,180,0
300,-250,180,400,150,180,0
300,-250,180,400,250,180,0
300,-250,180,400,350,180,0
300,-250,180,400,450,180,0
300,-250,180,500,-450,180,65.5845
300,-250,180,500,-350,180,65.6079
300,-250,180,500,-250,180,23.2191
300,-250,180,500,-150,180,1.78409
300,-250,180,500,-50,180,0
300,-250,180,500,50,180,0
300,-250,180,500,150,180,0
300,-250,180,500,250,180,0
300,-250,180,500,350,180,0
300,-250,180,500,450,180,0
300,-250,180,600,-450,180,0
300,-250,180,600,-350,180,0
300,-250,180,600,-250,180,0
300,-250,180,600,-150,180,0
300,-250,180,600,-50,180,0
300,-250,180,600,50,180,0
300,-250,180,600,150,180,0
300,-250,180,600,250,180,0
300,-250,180,600,350,180,0
300,-250,180,600,450,180,0
300,-150,180,200,-450,180,101.327
300,-150,180,200,-350,180,104.19
300,-150,180,200,-250,180,61.2529
300,-150,180,200,-150,180,0
300,-150,180,200,-50,180,0
300,-150,180,200,50,180,0
300,-150,180,200,150,180,0
300,-150,180,200,250,180,0
300,-150,180,200,350,180,0
300,-150,180,200,450,180,0
300,-150,180,300,-450,180,89.844
300,-150,180,300,-350,180,90.9423
300,-150,180,300,-250,180,27.5316
300,-150,180,300,-150,180,0
300,-150,180,300,-50,180,0
300,-150,180,300,50,180,0
300,-150,180,300,150,180,0
300,-150,180,300,250,180,0
300,-150,180,300,350,180,0
300,-150,180,300,450,180,0
300,-150,180,400,-450,180,80.6937
300,-150,180,400,-350,180,80.9809
300,-150,180,400,-250,180,30.6683
300,-150,180,400,-150,180,0
300,-150,180,400,-50,180,0
300,-150,180,400,50,180,0
300,-150,180,400,150,180,0
300,-150,180,400,250,180,0
300,-150,180,400,350,180,0
300,-150,180,400,450,180,0
300,-150,180,500,-450,180,72.1127
300,-150,180,500,-350,180,73.6111
300,-150,180,500,-250,180,70.9918
300,-150,180,500,-150,180,36.112
300,-150,180,500,-50,180,24.0633
300,-150,180,500,50,180,0
300,-150,180,500,150,180,0
300,-150,180,500,250,180,0
300,-150,180,500,350,180,0
300,-150,180,500,450,180,0
300,-150,180,600,-450,180,0
300,-150,180,600,-350,180,58.4505
300,-150,180,600,-250,180,57.523
300,-150,180,600,-150,180,38.3548
300,-150,180,600,-50,180,9.25276
300,-150,180,600,50,180,0
300,-150,180,600,150,180,0
300,-150,180,600,250,180,0
300,-150,180,600,350,180,0
300,-150,180,600,450,180,0
300,-50,180,200,-450,180,109.144
300,-50,180,200,-350,180,109.189
300,-50,180,200,-250,180,109.193
300,-50,180,200,-150,180,0
300,-50,180,200,-50,180,0
300,-50,180,200,50,180,0
300,-50,180,200,150,180,0
300,-50,180,200,250,180,0
300,-50,180,200,350,180,0
300,-50,180,200,450,180,0
300,-50,180,300,-450,180,109.126
300,-50,180,300,-350,180,109.136
300,-50,180,300,-250,180,109.44
300,-50,180,300,-150,180,19.8651
300,-50,180,300,-50,180,0
300,-50,180,300,50,180,0
300,-50,180,300,150,180,0
300,-50,180,300,250,180,0
300,-50,180,300,350,180,0
300,-50,180,300,450,180,0
300,-50,180,400,-450,180,104.115
300,-50,180,400,-350,180,104.735
300,-50,180,400,-250,180,99.9205
300,-50,180,400,-150,180,46.3647
300,-50,180,400,-50,180,0
300,-50,180,400,50,180,0
300,-50,180,400,150,180,0
300,-50,180,400,250,180,0
300,-50,180,400,350,180,0
300,-50,180,400,450,180,0
300,-50,180,500,-450,180,91.0157
300,-50,180,500,-350,180,92.3958
300,-50,180,500,-250,180,89.8781
300,-50,180,500,-150,180,84.7776
300,-50,180,500,-50,180,46.8196
300,-50,180,500,50,180,37.6225
300,-50,180,500,150,180,19.6459
300,-50,180,500,250,180,0
300,-50,180,500,350,180,0
300,-50,180,500,450,180,0
300,-50,180,600,-450,180,0
300,-50,180,600,-350,180,81.0871
300,-50,180,600,-250,180,80.8788
300,-50,180,600,-150,180,75.679
300,-50,180,600,-50,180,66.8429
300,-50,180,600,50,180,44.0193
300,-50,180,600,150,180,0
300,-50,180,600,250,180,0
300,-50,180,600,350,180,0
300,-50,180,600,450,180,0
300,50,180,200,-450,180,111.564
300,50,180,200,-350,180,111.235
300,50,180,200,-250,180,111.678
300,50,180,200,-150,180,0
300,50,180,200,-50,180,0
300,50,180,200,50,180,0
300,50,180,200,150,180,0
300,50,180,200,250,180,0
300,50,180,200,350,180,0
300,50,180,200,450,180,0
300,50,180,300,-450,180,112.52
300,50,180,300,-350,180,112.564
300,50,180,300,-250,180,112.728
300,50,180,300,-150,180,112.516
300,50,180,300,-50,180,18.2619
300,50,180,300,50,180,0
300,50,180,300,150,180,0
300,50,180,300,250,180,0
300,50,180,300,350,180,0
300,50,180,300,450,180,0
300,50,180,400,-450,180,112.542
300,50,180,400,-350,180,112.522
300,50,180,400,-250,180,112.52
300,50,180,400,-150,180,112.57
300,50,180,400,-50,180,56.2165
300,50,180,400,50,180,0
300,50,180,400,150,180,0
300,50,180,400,250,180,0
300,50,180,400,350,180,0
300,50,180,400,450,180,0
300,50,180,500,-450,180,112.59
300,50,180,500,-350,180,112.517
300,50,180,500,-250,180,112.598
300,50,180,500,-150,180,108.437
300,50,180,500,-50,180,96.6919
300,50,180,500,50,180,59.1498
300,50,180,500,150,180,51.9711
300,50,180,500,250,180,24.7544
300,50,180,500,350,180,0
300,50,180,500,450,180,0
300,50,180,600,-450,180,0
300,50,180,600,-350,180,102.095
300,50,180,600,-250,180,101.783
300,50,180,600,-150,180,95.6271
300,50,180,600,-50,180,85.0691
300,50,180,600,50,180,72.2008
300,50,180,600,150,180,60.233
300,50,180,600,250,180,0
300,50,180,600,350,180,0
300,50,180,600,450,180,0
300,150,180,200,-450,180,111.43
300,150,180,200,-350,180,111.079
300,150,180,200,-250,180,111.562
300,150,180,200,-150,180,0
300,150,180,200,-50,180,0
300,150,180,200,50,180,30.4431
300,150,180,200,150,180,0
300,150,180,200,250,180,0
300,150,180,200,350,180,0
300,150,180,200,450,180,0
300,150,180,300,-450,180,113.083
300,150,180,300,-350,180,112.997
300,150,180,300,-250,180,113.368
300,150,180,300,-150,180,114.259
300,150,180,300,-50,180,106.492
300,150,180,300,50,180,20.0447
300,150,180,300,150,180,0
300,150,180,300,250,180,0
300,150,180,300,350,180,0
300,150,180,300,450,180,0
300,150,180,400,-450,180,114.611
300,150,180,400,-350,180,114.655
300,150,180,400,-250,180,114.262
300,150,180,400,-150,180,113.175
300,150,180,400,-50,180,103.385
300,150,180,400,50,180,61.2529
300,150,180,400,150,180,5.30099
300,150,180,400,250,180,0
300,150,180,400,350,180,0
300,150,180,400,450,180,0
300,150,180,500,-450,180,113.137
300,150,180,500,-350,180,113.484
300,150,180,500,-250,180,112.9
300,150,180,500,-150,180,108.517
300,150,180,500,-50,180,96.7835
300,150,180,500,50,180,82.1761
300,150,180,500,150,180,69.4698
300,150,180,500,250,180,59.0602
300,150,180,500,350,180,0
300,150,180,500,450,180,0
300,150,180,600,-450,180,0
300,150,180,600,-350,180,102.184
300,150,180,600,-250,180,101.874
300,150,180,600,-150,180,95.7245
300,150,180,600,-50,180,85.4022
300,150,180,600,50,180,72.5109
300,150,180,600,150,180,64.415
300,150,180,600,250,180,0
300,150,180,600,350,180,0
300,150,180,600,450,180,0
300,250,180,200,-450,180,111.242
300,250,180,200,-350,180,111.167
300,250,180,200,-250,180,111.293
