Xl,Yl,Xr,Yr,Al,Ar,A,C,Ok,Distancia(mm)
200,250,200,-50,1,1,1,1,1,29.7693
200,250,200,50,1,1,1,1,1,30.0166
200,250,200,150,1,1,1,1,1,20.683
200,250,200,250,1,1,1,0,0,0
200,250,200,350,1,1,1,0,0,4.41904
200,250,200,450,1,1,1,0,0,8.78386
200,250,300,-450,1,1,1,1,1,29.8513
200,250,300,-350,1,1,1,1,1,29.9532
200,250,300,-250,1,1,1,1,1,29.7262
200,250,300,-150,1,1,1,1,1,29.8144
200,250,300,-50,1,1,1,1,1,29.7343
200,250,300,50,1,1,1,1,1,29.8212
200,250,300,150,1,1,1,1,1,29.1769
200,250,300,250,1,1,1,0,0,6.47237
200,250,300,350,1,1,1,0,0,8.63546
200,250,300,450,1,0,0,0,0,8.63546
200,250,400,-450,1,1,1,1,1,29.7566
200,250,400,-350,1,1,1,1,1,29.7803
200,250,400,-250,1,1,1,1,1,29.8069
200,250,400,-150,1,1,1,1,1,2.97E+01
200,250,400,-50,1,1,1,1,1,29.7286
200,250,400,50,1,1,1,1,1,29.8346
200,250,400,150,1,1,1,1,1,29.0253
200,250,400,250,1,1,1,1,1,29.7435
200,250,400,350,1,1,1,1,1,29.873
200,250,400,450,1,0,0,1,0,29.873
200,250,500,-450,1,1,1,1,1,29.7337
200,250,500,-350,1,1,1,1,1,29.8211
200,250,500,-250,1,1,1,1,1,29.7344
200,250,500,-150,1,1,1,1,1,29.7463
200,250,500,-50,1,1,1,1,1,29.7507
200,250,500,50,1,1,1,1,1,29.7905
200,250,500,150,1,1,1,1,1,28.7941
200,250,500,250,1,1,1,1,1,29.7767
200,250,500,350,1,0,0,1,0,29.7767
200,250,500,450,1,0,0,1,0,29.7767
200,250,600,-450,1,0,0,1,0,29.7767
200,250,600,-350,1,1,1,1,1,29.7287
200,250,600,-250,1,1,1,1,1,29.7441
200,250,600,-150,1,1,1,1,1,29.7235
200,250,600,-50,1,1,1,1,1,30.0715
200,250,600,50,1,1,1,1,1,29.0405
200,250,600,150,1,1,1,1,1,29.748
200,250,600,250,1,0,0,1,0,29.748
200,250,600,350,1,0,0,1,0,29.748
200,250,600,450,1,0,0,1,0,29.748
200,350,200,-450,1,1,1,1,1,29.7302
200,350,200,-350,1,1,1,1,1,30.0191
200,350,200,-250,1,1,1,1,1,29.6985
200,350,200,-150,1,1,1,1,1,29.9997
200,350,200,-50,1,1,1,1,1,29.7754
200,350,200,50,1,1,1,1,1,30.0204
200,350,200,150,1,1,1,1,1,23.9823
200,350,200,250,1,1,1,1,1,16.6876
200,350,200,350,1,1,1,0,0,5.30E-05
200,350,200,450,1,1,1,0,0,6.66351
200,350,300,-450,1,1,1,1,1,29.7658
