Grid size,10,5,Zs,2,,,,,,,,,,,,,,,
Coordenada,,Brazo derecho,,,,,,,,Coordenada,,Brazo izquierdo,,,,,,,
X,Y,Alcanza Z=180,J1,J2,J3,J4,J5,J6,J7,X,Y,Alcanza Z=180,J1,J2,J3,J4,J5,J6,J7
200,450,0,0,0,0,0,0,0,0		,200,450,1,-27.9943,-69.5378,13.8357,75.4214,17.901,-161.866,95.8717
300,-450,1,35.8889,-73.0294,8.52831,-85.7085,37.3437,-186.67,-78.7733,300,-450,0,0,0,0,0,0,0,0		
300,-350,1,34.7913,-73.0329,30.2329,-111.689,40.1562,-153.641,-78.826,300,-350,1,-167.5,-93.939,-20.8748,143.335,95.9936,85.6521,110.536
300,-250,1,40.9132,-71.3242,45.7739,-129.847,51.075,-127.32,-80.7262,300,-250,1,-146.921,-84.36,10.2474,140.796,102.519,80.1182,110.687
300,-150,1,56.0014,-68.5803,54.5268,-138.841,67.2145,-107.824,-85.2304,300,-150,1,-127.005,-77.2846,31.6796,140.345,103.173,80.0409,106.976
300,-50,1,79.3665,-67.3488,54.874,-140.96,84.1614,-93.2775,-92.8298,300,-50,1,-104.547,-71.8193,46.8572,141.003,97.7449,84.7443,100.676
300,50,1,104.926,-69.921,46.6445,-139.928,96.4358,-83.5002,-101.353,300,50,1,-79.2979,-69.3164,55.0652,141.65,85.4799,94.581,92.4113
300,150,1,127.588,-75.5536,31.4313,-138.985,101.916,-78.8837,-107.959,300,150,1,-56.1864,-70.5287,54.721,139.108,68.5757,109.186,84.8624
300,250,1,147.566,-82.8918,9.95276,-139.225,101.396,-79.1171,-111.969,300,250,1,-40.9744,-73.3296,46.2261,129.67,52.732,121.463,79.8722
300,350,1,167.5,-93.9389,-20.8749,-143.335,95.9935,-85.652,-110.536,300,350,1,-35.0401,-74.7907,30.5097,112.185,41.7887,-205.615,77.9657
300,450,0,0,0,0,0,0,0,0		,300,450,1,-36.0484,-74.5796,8.86403,87.3762,38.8144,-173.746,77.5539
400,-450,1,49.5616,-69.7269,-5.69535,-86.0658,51.4743,-186.307,-68.9572,400,-450,0,0,0,0,0,0,0,0		
400,-350,1,48.3002,-70.0127,16.2287,-102.182,52.8974,-160.056,-68.6045,400,-350,0,0,0,0,0,0,0,0		
400,-250,1,53.8106,-67.6265,30.4277,-114.468,59.3102,-137.353,-70.3253,400,-250,1,-153.365,-71.7125,-7.02485,127.832,90.5261,90.7904,112.775
400,-150,1,66.3362,-63.462,37.6142,-121.895,68.7931,-118.595,-74.7927,400,-150,1,-131.563,-64.361,15.3184,127.316,91.33,90.3118,104.131
400,-50,1,85.5974,-59.7036,37.338,-125.082,78.6865,-104.097,-83.0648,400,-50,1,-108.616,-60.8749,29.9231,126.928,87.7101,95.1364,93.298
400,50,1,108.843,-59.1007,29.639,-125.876,86.2401,-94.3072,-94.3204,400,50,1,-85.7753,-61.5417,37.6112,125.912,80.216,104.965,82.3721
400,150,1,132.135,-62.8014,15.009,-126.027,89.9686,-89.5642,-105.535,400,150,1,-66.7742,-65.2599,37.8927,122.573,70.3684,119.43,74.1923
400,250,1,154.068,-70.5182,-7.3798,-126.298,89.3646,-90.1939,-114.472,400,250,1,-54.3266,-69.3376,30.7301,115.199,60.9229,-221.999,69.5872
400,350,0,0,0,0,0,0,0,0		,400,350,1,-48.7719,-71.5909,16.5727,103.286,54.4669,-199.719,67.6019
400,450,0,0,0,0,0,0,0,0		,400,450,1,-49.8888,-71.0803,-5.29149,87.7725,52.7796,-174.023,67.6115
500,-450,1,69.6958,-59.8481,-34.2451,-82.0725,61.4042,-194.653,-68.6943,500,-450,0,0,0,0,0,0,0,0		
500,-350,1,64.8757,-61.5087,-6.90851,-94.7941,60.8421,-168.548,-66.2838,500,-350,0,0,0,0,0,0,0,0		
500,-250,1,68.932,-59.728,7.74263,-104.13,64.2258,-147.904,-67.9844,500,-250,1,-165.862,-68.0677,-37.5771,117.811,80.247,109.818,118.657
500,-150,1,79.6019,-56.1894,14.4419,-110.389,69.5644,-131.019,-73.1371,500,-150,1,-141.045,-57.9364,-9.03609,117.895,82.701,106.205,106.919
500,-50,1,96.509,-52.9371,13.8823,-113.962,75.1936,-118.041,-82.3925,500,-50,1,-117.844,-54.0021,6.49811,116.998,80.9496,109.884,93.6857
500,50,1,118.173,-52.4884,6.14135,-115.698,79.5575,-109.423,-95.1714,500,50,1,-96.6126,-54.5578,14.2299,115.129,76.6732,118.511,81.2756
500,150,1,141.712,-56.7222,-9.41835,-116.397,81.4761,-105.821,-108.775,500,150,1,-79.9915,-57.7823,14.7946,111.523,71.076,131.418,72.1736
500,250,1,148.185,-56.9519,-13.7172,-114.567,82.6933,-105.549,-111.922,500,250,1,-68.6835,-60.0567,16.2315,104.812,73.1445,-77.3417,60.9882
500,350,0,0,0,0,0,0,0,0		,500,350,1,-65.28,-62.834,-6.48758,96.3507,62.1585,-191.534,65.0011
500,450,0,0,0,0,0,0,0,0		,500,450,1,-69.8149,-60.8445,-33.713,84.0435,62.2835,-165.756,66.9996
600,-450,0,0,0,0,0,0,0,0		,600,-450,0,0,0,0,0,0,0,0		
600,-350,1,97.0892,-49.3496,-54.4399,-85.1335,67.1267,-189.396,-79.7369,600,-350,0,0,0,0,0,0,0,0		
600,-250,1,92.1759,-49.9947,-27.4748,-95.0052,67.4011,-164.246,-76.3639,600,-250,0,0,0,0,0,0,0,0		
600,-150,1,100.634,-48.5283,-18.6706,-100.902,69.9175,-147.95,-81.5727,600,-150,1,-165.059,-61.0772,-57.2983,107.551,74.1668,133.623,119.549
600,-50,1,116.535,-47.6855,-19.3204,-104.534,72.7549,-136.506,-91.8904,600,-50,1,-137.394,-51.1518,-28.8795,108.085,75.6821,130.284,103.751
600,50,1,138.02,-50.2092,-29.3515,-106.364,74.6626,-130.222,-105.859,600,50,1,-116.037,-48.7068,-18.6476,106.042,74.0735,-215.04,89.8251
600,150,1,165.714,-60.7654,-57.9613,-105.584,73.541,-133.787,-121.787,600,150,1,-100.587,-49.7464,-18.2058,102.543,71.0827,-212.047,79.9399
600,250,0,0,0,0,0,0,0,0		,600,250,1,-92.1951,-51.0916,-26.9664,96.785,68.4384,-195.908,74.6838
600,350,0,0,0,0,0,0,0,0		,600,350,1,-96.7455,-50.0492,-53.6772,87.2109,67.7002,-171.046,77.618
600,450,0,0,0,0,0,0,0,0		,600,450,0,0,0,0,0,0,0,0		
