Gird Size,10,5,3,,,,,,,,,,,,,,,,,,
Coordenada,,,Brazo derecho,,,,,,,,Coordenada,,,Brazo izquierdo,,,,,,,
X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7,X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7
600,-250,180,1,80.9404,-47.5028,-16.1879,266.3350,75.5399,-160.4280,-62.5975,600,-250,180,0,0,0,0,0,0,0,0
600,-150,180,1,90.7269,-44.1792,-8.9290,262.7710,77.4861,-145.1020,-68.9348,600,-150,180,1,-161.2100,-49.7741,-39.7093,103.0550,82.2753,126.0090,118.0060
600,-50,180,1,108.6670,-40.9095,-10.0171,260.4690,79.6640,-133.6290,-81.6999,600,-50,180,1,-133.1330,-42.4094,-18.8568,102.5050,82.4291,126.5880,98.2812
600,50,180,1,133.7310,-41.2732,-19.2902,259.1410,81.2738,-126.5770,-100.3360,600,50,180,1,-108.6710,-42.2428,-9.5950,101.0830,80.9396,133.6430,80.1987
600,150,180,1,162.0330,-49.1402,-40.1866,258.7710,81.4101,-126.0690,-120.3470,600,150,180,1,-91.1377,-45.4948,-8.5055,98.7752,78.7769,145.0740,67.7329
600,250,180,0,0,0,0,0,0,0,0,600,250,180,1,-81.4332,-48.6981,-15.7369,95.3086,76.7329,160.3040,61.3482
600,350,180,0,0,0,0,0,0,0,0,600,350,180,1,-80.7080,-48.8121,-34.7678,90.2464,75.6956,180.4260,61.0331
600,450,180,0,0,0,0,0,0,0,0,600,450,180,0,0,0,0,0,0,0,0
200,-450,310,1,16.5655,-120.0250,39.6768,270.9630,87.6052,-199.2050,-35.7012,200,-450,310,0,0,0,0,0,0,0,0
200,-350,310,1,10.9462,-126.4380,62.2962,269.3960,87.1032,-184.5170,-39.7557,200,-350,310,0,0,0,0,0,0,0,0
200,-250,310,0,0,0,0,0,0,0,0,200,-250,310,0,0,0,0,0,0,0,0
200,-150,310,0,0,0,0,0,0,0,0,200,-150,310,0,0,0,0,0,0,0,0
200,-50,310,0,0,0,0,0,0,0,0,200,-50,310,0,0,0,0,0,0,0,0
200,50,310,0,0,0,0,0,0,0,0,200,50,310,0,0,0,0,0,0,0,0
200,150,310,0,0,0,0,0,0,0,0,200,150,310,0,0,0,0,0,0,0,0
200,250,310,0,0,0,0,0,0,0,0,200,250,310,0,0,0,0,0,0,0,0
200,350,310,0,0,0,0,0,0,0,0,200,350,310,1,-12.6134,-127.8590,62.6006,90.9144,89.1149,184.5100,38.0934
